port,date_departure
Rochefort,"05,,1787"
Bordeaux,"08,28,1786"
Bordeaux,",,"
Bordeaux,"08,13,1785"
Bordeaux,"08,23,1785"
Bordeaux,"09,13,1785"
Bordeaux,"01,18,1786"
Bordeaux,"01,19,1786"
Bordeaux,"02,14,1786"
Bordeaux,"02,15,1786"
Bordeaux,"02,24,1786"
Bordeaux,"03,04,1786"
Bordeaux,"03,09,1786"
Bordeaux,"04,16,1786"
Bordeaux,"08,25,1786"
Bordeaux,"09,06,1786"
Bordeaux,"09,22,1786"
Bordeaux,"12,02,1786"
Bordeaux,"12,09,1786"
Bordeaux,"01,23,1787"
Bordeaux,"02,,1787"
Bordeaux,"04,,1787"
Bordeaux,"09,04,1787"
La Rochelle,"02,14,1786"
La Rochelle,"03,27,1786"
La Rochelle,"04,04,1786"
La Rochelle,"04,12,1786"
La Rochelle,"05,01,1786"
La Rochelle,"05,28,1786"
La Rochelle,"06,10,1786"
La Rochelle,"07,17,1786"
La Rochelle,"07,21,1786"
La Rochelle,"08,08,1786"
La Rochelle,"9,20,1786"
La Rochelle,"10,18,1786"
La Rochelle,"11,03,1786"
La Rochelle,"12,20,1786"
La Rochelle,"12,20,1786"
La Rochelle,"12,20,1786"
La Rochelle,"01,22,1787"
La Rochelle,"01,27,1787"
Bordeaux,"06,23,1786"
Nantes,"08,14,1784"
Nantes,"09,07,1784"
Nantes,"01,26,1785"
Nantes,"03,01,1785"
Nantes,"03,25,1785"
Nantes,"03,29,1785"
Nantes,"03,29,1785"
Nantes,"04,17,1785"
Nantes,"04,18,1785"
Nantes,"04,20,1785"
Nantes,"07,08,1785"
Nantes,"09,12,1785"
Nantes,"09,23,1785"
Nantes,"10,18,1785"
Nantes,"10,23,1785"
Nantes,"11,09,1785"
Nantes,"12,10,1785"
Nantes,"12,22,1785"
Nantes,"12,23,1785"
Nantes,"03,02,1786"
Nantes,"03,27,1786"
Nantes,"03,30,1786"
Nantes,"04,09,1786"
Nantes,"05,25,1786"
Nantes,"06,07,1785"
Nantes,"12,19,1786"
Nantes,"12,20,1786"
Rochefort,"07,08,1785"
Bordeaux,"02,11,1786"
Bordeaux,"05,01,1786"
Bordeaux,"12,14,1786"
Bordeaux,"10,01,1783"
Bordeaux,"11,06,1784"
Bordeaux,"05,13,1785"
Bordeaux,"05,14,1785"
Bordeaux,"07,25,1785"
Bordeaux,"08,23,1785"
Bordeaux,"09,30,1785"
Bordeaux,"10,15,1785"
Bordeaux,"01,10,1786"
Bordeaux,"01,12,1786"
Bordeaux,"02,14,1786"
La Rochelle,"10,,1784"
La Rochelle,"04,03,1785"
La Rochelle,"04,11,1785"
La Rochelle,"04,13,1785"
La Rochelle,"06,12,1785"
La Rochelle,"06,18,1785"
La Rochelle,"07,09,1785"
La Rochelle,"08,11,1785"
La Rochelle,"04,27,1785"
La Rochelle,"09,28,1785"
La Rochelle,"09,28,1785"
La Rochelle,"10,14,1785"
La Rochelle,"11,08,1785"
La Rochelle,"11,09,1785"
La Rochelle,"12,28,1785"
La Rochelle,"02,28,1786"
La Rochelle,"03,11,1786"
La Rochelle,"04,08,1786"
Nantes,"04,10,1783"
Nantes,"08,26,1783"
Nantes,"11,23,1783"
Nantes,"01,10,1784"
Nantes,"03,18,1784"
Nantes,"03,15,1784"
Nantes,"04,17,1784"
Nantes,"04,29,1784"
Nantes,"05,03,1784"
Nantes,"06,04,1784"
Nantes,"06,30,1784"
Nantes,"08,02,1784"
Nantes,"10,03,1784"
Nantes,"10,10,1784"
Nantes,"11,06,1784"
Nantes,"12,01,1784"
Nantes,"12,10,1784"
Nantes,"12,16,1784"
Nantes,"02,14,1785"
Nantes,"03,15,1785"
Nantes,"03,17,1785"
Nantes,"03,17,1785"
Nantes,"03,30,1785"
Nantes,"04,12,1785"
Nantes,"05,05,1785"
Nantes,"05,09,1785"
Nantes,"06,14,1785"
Nantes,"06,20,1785"
Rochefort,"09,10,1784"
Bordeaux,"10,16,1783"
Bordeaux,"07,15,1784"
Bordeaux,"12,02,1784"
Bordeaux,"03,07,1785"
Bordeaux,"03,17,1785"
Bordeaux,"03,17,1785"
Bordeaux,"07,04,1785"
Bordeaux,"08,03,1785"
Bordeaux,"08,10,1785"
Bordeaux,"11,14,1785"
La Rochelle,"03,12,1784"
La Rochelle,"03,12,1784"
La Rochelle,"03,02,1784"
La Rochelle,"03,31,1784"
La Rochelle,"06,02,1784"
La Rochelle,"07,11,1784"
La Rochelle,"08,02,1784"
La Rochelle,"08,28,1784"
La Rochelle,"08,28,1784"
La Rochelle,"09,06,1784"
La Rochelle,"09,06,1784"
La Rochelle,"09,16,1784"
La Rochelle,"01,10,1785"
Nantes,"11,28,1781"
Nantes,"03,17,1783"
Nantes,"04,08,1783"
Nantes,"04,22,1783"
Nantes,"05,08,1783"
Nantes,"05,01,1783"
Nantes,"05,20,1783"
Nantes,"06,07,1783"
Nantes,"06,20,1783"
Nantes,"06,22,1783"
Nantes,"06,23,1783"
Nantes,"06,23,1783"
Nantes,"06,24,1783"
Nantes,"08,13,1783"
Nantes,"08,14,1783"
Nantes,"08,14,1783"
Nantes,"10,14,1783"
Nantes,"11,02,1783"
Nantes,"11,07,1783"
Nantes,"12,02,1783"
Nantes,"12,08,1783"
Nantes,"12,29,1783"
Nantes,"03,11,1784"
Nantes,"03,12,1784"
Nantes,"05,05,1784"
Rochefort,"09,25,1784"
Bordeaux,",,1784"
Bordeaux,"03,29,1783"
Bordeaux,"04,17,1783"
Bordeaux,"04,28,1783"
Bordeaux,"05,26,1783"
Bordeaux,"06,09,1783"
