"pointcall_out_date2","pointcall_in_date","record_id","ship_id","ship_name","captain_name","port_depart","outdate_fixed","port_destination","pointcall_province","substate_destination","state_destination","destination_admiralty","departure_admiralty","destination_province","departure_province","pointcall_action","homeport_state_1789_fr","homeport_toponyme_fr","homeport_province","ship_flag_standardized_fr","commodity_standardized_fr","commodity_standardized2_fr","commodity_standardized3_fr","commodity_standardized4_fr","tonnage","tonnage_unit","tonnage_class"
"1789=05=18","1789>05>18","00337907",,Saint Barthelémy,"Corric, Budoc",Marennes,1789-05-18,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,,,,français,Sel,,,,"99",tx,[51-100]
"1789=05=18","1789>05>18","00337908",,Nancy,"Bugaud, Pierre",Marennes,1789-05-18,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"116",tx,[101-200]
"1789=05=18","1789>05>18","00337904","0000028N",Bonne Mère,"Le Bouchet, Francois",Marennes,1789-05-18,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,île-de-Bréhat,Bretagne,français,Sel,,,,"244",tx,[201-500]
"1789=05=18","1789>05>18","00337905",,Thomas,"Guismard, Aléxis",Marennes,1789-05-18,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Briac,Bretagne,français,Sel,,,,"121",tx,[101-200]
"1789=05=23","1789>05>23","00337909",,Judith,"Quintin, Gilles",Marennes,1789-05-23,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"96",tx,[51-100]
"1789=05=26","1789>05>26","00337910",,Saint Jean Baptiste,"Perette, Jean",Marennes,1789-05-26,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"89",tx,[51-100]
"1789=05=28","1789>05>28","00337912","0021485N",Duchesse de la Chatre,"Thoreux, Guillaume",Marennes,1789-05-28,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"108",tx,[101-200]
"1789=05=28","1789>05>28","00337913",,Heureux,"Baulieu, Jean Joseph",Marennes,1789-05-28,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"117",tx,[101-200]
"1789=05=28","1789>05>28","00337914",,Marie,"Lotrou, Léonard",Marennes,1789-05-28,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Le Conquet,Bretagne,français,Sel,,,,"60",tx,[51-100]
"1789=05=28","1789>05>28","00337911","0001131N",Saint Jean Baptiste,"Lainé, Joseph",Marennes,1789-05-28,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Briac,Bretagne,français,Sel,,,,"116",tx,[101-200]
"1789=05=28","1789>05>28","00337915",,Bien Aimé,"Floury, Nicolas",Marennes,1789-05-28,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"116",tx,[101-200]
"1789=05=29","1789>05>29","00337916",,Sainte Famille,"Le Saus, Joseph",Marennes,1789-05-29,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,,,,français,Sel,,,,"74",tx,[51-100]
"1789=05=29","1789>05>29","00337917","0000525N",Saint Pierre,"Moreau, Francois",Marennes,1789-05-29,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,,,,français,Sel,,,,"94",tx,[51-100]
"1789=05=29","1789>05>29","00337918",,Saint Briac,"Rozé, Jullien",Marennes,1789-05-29,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"103",tx,[101-200]
"1789=05=30","1789>05>30","00337920",,Bons amis,"Pansard, Pierre",Marennes,1789-05-30,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Brieuc,Bretagne,français,Sel,,,,"103",tx,[101-200]
"1789=05=30","1789>05>30","00337921",,Charles,"Olivier, Joseph",Marennes,1789-05-30,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Briac,Bretagne,français,Sel,,,,"103",tx,[101-200]
"1789=05=30","1789>05>30","00337923",,Saint Antoine,"Simon, Antoine",Marennes,1789-05-30,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"126",tx,[101-200]
"1789=05=30","1789>05>30","00337919",,Utille,"Le Normand, Hervé",Marennes,1789-05-30,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Quimper,Bretagne,français,Sel,,,,"116",tx,[101-200]
"1789=05=30","1789>05>30","00337922",,Marie Jeanne,"Gonidec, Jean",Marennes,1789-05-30,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"89",tx,[51-100]
"1789=06=02","1789>06>02","00337924",,Marie Geneviéve,"Provost, Francois",Marennes,1789-06-02,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Le Conquet,Bretagne,français,Sel,,,,"98",tx,[51-100]
"1789=06=03","1789>06>03","00337925",,Comtesse d' Hector,"Le Guilly, Francois",Marennes,1789-06-03,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Landerneau,Bretagne,français,Sel,,,,"71",tx,[51-100]
"1789=06=04","1789>06>04","00337926",,Marie Rosaire,"Kreneur, Jean Joseph",Marennes,1789-06-04,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Aber-Ildut,Bretagne,français,Sel,,,,"63",tx,[51-100]
"1789=06=04","1789>06>04","00338060",,Saint Jean,"Charrier, Jean",Noirmoutier,1789-06-04,Honfleur,Normandie,,France,Honfleur,Sables-d’Olonne,Normandie,Poitou,Out,France,Noirmoutier,Poitou,français,Sel,,,,"55",tx,[51-100]
"1789=06=06","1789>06>06","00337928",,Jean Baptiste,"Pansart, Jean",Marennes,1789-06-06,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Erquy,Bretagne,français,Sel,,,,"86",tx,[51-100]
"1789=06=06","1789>06>06","00337931",,Marie Théréze,"Guilhaume, Jullien",Marennes,1789-06-06,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"88",tx,[51-100]
"1789=06=06","1789>06>06","00337929",,Saint Pierre,"Rouget, Jean",Marennes,1789-06-06,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Erquy,Bretagne,français,Sel,,,,"112",tx,[101-200]
"1789=06=06","1789>06>06","00337927",,Marie Louise,"Le Moine, Sébastien",Marennes,1789-06-06,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Briac,Bretagne,français,Sel,,,,"153",tx,[101-200]
"1789=06=06","1789>06>06","00337930",,Marie Jeanne,"Ohier, Dominique",Marennes,1789-06-06,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"84",tx,[51-100]
"1789=06=08","1789>06>08","00337935",,Marianne,"Goalin, Joachim",Marennes,1789-06-08,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Sarzeau,Bretagne,français,Sel,,,,"63",tx,[51-100]
"1789=06=08","1789>06>08","00337934",,Marie Francoise,"Lautron, Yves Marie",Marennes,1789-06-08,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Landerneau,Bretagne,français,Sel,,,,"77",tx,[51-100]
"1789=06=08","1789>06>08","00337932",,Heros,"Le Grand, Luc",Marennes,1789-06-08,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"162",tx,[101-200]
"1789=06=08","1789>06>08","00337933",,Antoinette,"Lasblay, Jean",Marennes,1789-06-08,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"78",tx,[51-100]
"1789=06=09","1789>06>09","00337936",,Reine Marie,"Gallais, Yves",Marennes,1789-06-09,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"138",tx,[101-200]
"1789=06=09","1789>06>09","00337937",,Comte d' Hector,"Collin, Jean",Marennes,1789-06-09,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Argenton,Bretagne,français,Sel,,,,"67",tx,[51-100]
"1789=06=10","1789>06>10","00337939",,Legere,"Eon, Francois",Marennes,1789-06-10,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"98",tx,[51-100]
"1789=06=10","1789>06>10","00337938",,Bons Amis,"Le Sennes, Yves",Marennes,1789-06-10,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"133",tx,[101-200]
"1789=06=12","1789>06>12","00337941",,Marie de Grace,"Pasturel, Athanaze",Marennes,1789-06-12,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Erquy,Bretagne,français,Sel,,,,"70",tx,[51-100]
"1789=06=12","1789>06>12","00337944",,Jean Joseph,"Le Bozec, Francois",Marennes,1789-06-12,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Paimpol,Bretagne,français,Sel,,,,"77",tx,[51-100]
"1789=06=12","1789>06>12","00337942",,Flessel,"Ohier, Guillaume",Marennes,1789-06-12,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"127",tx,[101-200]
"1789=06=12","1789>06>12","00337940",,Suzanne,"Caprel, Jean Joseph",Marennes,1789-06-12,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"120",tx,[101-200]
"1789=06=12","1789>06>12","00337943",,Saint Malo,"Follange, Yves",Marennes,1789-06-12,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"102",tx,[101-200]
"1789=06=13","1789>06>13","00337946",,Betzi,"Chatel, Guillaume",Marennes,1789-06-13,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,,,,français,Sel,,,,"151",tx,[101-200]
"1789=06=13","1789>06>13","00337945",,Saint Pierre,"Loho, Jullien",Marennes,1789-06-13,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Quiberon,Bretagne,français,Sel,,,,"66",tx,[51-100]
"1789=06=15","1789>06>15","00337947",,Esperance,"Hemon, René",Marennes,1789-06-15,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Lorient,Bretagne,français,Sel,,,,"51",tx,[51-100]
"1789=06=16","1789>06>16","00337951",,Espérance,"Noel, Pierre",Marennes,1789-06-16,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Briac,Bretagne,français,Sel,,,,"71",tx,[51-100]
"1789=06=16","1789>06>16","00337952",,Aimable Adelaïde,"Besnard, Jean Baptiste",Marennes,1789-06-16,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"112",tx,[101-200]
"1789=06=16","1789>06>16","00337954",,Don de Dieu,"Besnard, Yves",Marennes,1789-06-16,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"133",tx,[101-200]
"1789=06=16","1789>06>16","00337948",,Elizabeth,"Le Bras, Yves",Marennes,1789-06-16,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,île-de-Bréhat,Bretagne,français,Sel,,,,"56",tx,[51-100]
"1789=06=16","1789>06>16","00337949",,Aimable Jeanne,"Le Moine, Joseph",Marennes,1789-06-16,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Briac,Bretagne,français,Sel,,,,"104",tx,[101-200]
"1789=06=16","1789>06>16","00337950",,Trois enfants,"Lescop, Francois",Marennes,1789-06-16,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Aber-Ildut,Bretagne,français,Sel,,,,"70",tx,[51-100]
"1789=06=16","1789>06>16","00337953",,Saint Gabriel,"Morvan, Jean",Marennes,1789-06-16,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"110",tx,[101-200]
"1789=06=17","1789>06>17","00337956",,Marie Louise,"Gallais, Pierre Thomas",Marennes,1789-06-17,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"146",tx,[101-200]
"1789=06=17","1789>06>17","00337955",,Six frères,"Gaillard, Louis",Marennes,1789-06-17,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"59",tx,[51-100]
"1789=06=17","1789>06>17","00337957",,Saint Charles,"Queré, Charles",Marennes,1789-06-17,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Port-d'Envaux,Saintonge,français,Sel,,,,"107",tx,[101-200]
"1789=06=19","1789>06>19","00337959",,Sainte Anne,"Pinto, Joachim",Marennes,1789-06-19,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Île-aux-Moines,Bretagne,français,Sel,,,,"59",tx,[51-100]
"1789=06=19","1789>06>19","00337958",,Marie Joseph,"DaniEl, Pierre",Marennes,1789-06-19,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Île-aux-Moines,Bretagne,français,Sel,,,,"73",tx,[51-100]
"1789=06=20","1789>06>20","00337962",,Saint Louis,"Cap, Francois Marie",Marennes,1789-06-20,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Brest,Bretagne,français,Sel,,,,"77",tx,[51-100]
"1789=06=20","1789>06>20","00337963",,Père de Famille,"Perron, Joseph",Marennes,1789-06-20,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Île-aux-Moines,Bretagne,français,Sel,,,,"57",tx,[51-100]
"1789=06=20","1789>06>20","00337961",,Francoise,"Pilvin, Jean",Marennes,1789-06-20,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Le Conquet,Bretagne,français,Sel,,,,"62",tx,[51-100]
"1789=06=20","1789>06>20","00337960",,Providance,"Pommelec, Hervé",Marennes,1789-06-20,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Le Conquet,Bretagne,français,Sel,,,,"69",tx,[51-100]
"1789=06=23","1789>06>23","00337964",,Providance,"Thomas, Charles",Marennes,1789-06-23,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,île d'Arz,Bretagne,français,Sel,,,,"48",tx,[21-50]
"1789=06=23","1789>06>23","00337966",,Victoire,"David, Sebastien",Marennes,1789-06-23,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Nantes,Bretagne,français,Sel,,,,"111",tx,[101-200]
"1789=06=23","1789>06>23","00337965",,Saint Francois,"Piron, Charles",Marennes,1789-06-23,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Argenton,Bretagne,français,Sel,,,,"78",tx,[51-100]
"1789=06=25","1789>06>25","00337968",,Bordelais,"Daufrené, Pierre",Marennes,1789-06-25,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Honfleur,Normandie,français,Sel,,,,"100",tx,[51-100]
"1789=06=25","1789>06>25","00337967",,Elizabeth,"Coritton, Francois",Marennes,1789-06-25,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Carnac,Bretagne,français,Sel,,,,"56",tx,[51-100]
"1789=06=25","1789>06>25","00337969",,Patriote,"Lalla, Jean Francois",Marennes,1789-06-25,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Le Conquet,Bretagne,français,Sel,,,,"62",tx,[51-100]
"1789=06=26","1789>06>26","00337973",,Amis,"Forcin, Francois",Marennes,1789-06-26,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Nantes,Bretagne,français,Sel,,,,"166",tx,[101-200]
"1789=06=26","1789>06>26","00337972",,Sainte Anne,"Gefflot, Joseph",Marennes,1789-06-26,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"87",tx,[51-100]
"1789=06=26","1789>06>26","00337971","0007773N",Sainte Anne,"Stéphany, Guillaume",Marennes,1789-06-26,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Rhuys,Bretagne,français,Sel,,,,"67",tx,[51-100]
"1789=06=26","1789>06>26","00337977",,Jullien Marie,"Gueguen, Jullien",Marennes,1789-06-26,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"137",tx,[101-200]
"1789=06=26","1789>06>26","00337975","0003892N",Jeanne Monique,"Le Gloueck, Francois Marie",Marennes,1789-06-26,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Carnac,Bretagne,français,Sel,,,,"62",tx,[51-100]
"1789=06=26","1789>06>26","00337974",,Bonne,"Lescaff, Francois Joseph",Marennes,1789-06-26,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,,,,français,Sel,,,,"77",tx,[51-100]
"1789=06=26","1789>06>26","00337970",,Fidélité,"Borne, Mathieu",Marennes,1789-06-26,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Quiberon,Bretagne,français,Sel,,,,"54",tx,[51-100]
"1789=06=26","1789>06>26","00337976",,Revanche,"Beteau, Jean",Marennes,1789-06-26,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"85",tx,[51-100]
"1789=06=29","1789>06>29","00337979",,Diligent,"Fief de Hache, Pierre",Marennes,1789-06-29,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Briac,Bretagne,français,Sel,,,,"86",tx,[51-100]
"1789=06=30","1789>06>30","00337980","0001537N",Aimable Jaquette,"Quentin, Joseph",Marennes,1789-06-30,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,île-de-Bréhat,Bretagne,français,Sel,,,,"64",tx,[51-100]
"1789=06=30","1789>06>30","00337978",,Rosalie,"Gefflot, Francois",Marennes,1789-06-30,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"133",tx,[101-200]
"1789=07=01","1789>07>01","00337981",,La Fidelité,"Gaudebert, Tanguy",Marennes,1789-07-01,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Argenton,Bretagne,français,Sel,,,,"62",tx,[51-100]
"1789=07=02","1789>07>02","00341467",,Marie Jeanne,"Gefflot, Michel",Marennes,1789-07-02,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Briac,Bretagne,français,,,,,"105",tx,[101-200]
"1789=07=02","1789>07>02","00337984",,Saint Pierre,"Thomas, Joseph",Marennes,1789-07-02,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"83",tx,[51-100]
"1789=07=02","1789>07>02","00337983",,Marie Francoise,"Le Roy, Jullien",Marennes,1789-07-02,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"105",tx,[101-200]
"1789=07=02","1789>07>02","00337985",,Confiance,"Chevalier, Pierre",Marennes,1789-07-02,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Briac,Bretagne,français,Sel,,,,"133",tx,[101-200]
"1789=07=02","1789>07>02","00337982",,Jean Marie,"Noel, Jean",Marennes,1789-07-02,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"140",tx,[101-200]
"1789=07=03","1789>07>03","00337988",,Saint Mathieu,"Quevoron, Jean Allain",Marennes,1789-07-03,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Argenton,Bretagne,français,Sel,,,,"81",tx,[51-100]
"1789=07=03","1789>07>03","00337986",,Fortune,"Dreano, Jean Marie",Marennes,1789-07-03,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Île-aux-Moines,Bretagne,français,Sel,,,,"187",tx,[101-200]
"1789=07=03","1789>07>03","00337987",,Bonne Foy,"Corric, Thomas",Marennes,1789-07-03,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Argenton,Bretagne,français,Sel,,,,"80",tx,[51-100]
"1789=07=04","1789>07>04","00337990",,Saint Joachim,"Nicolas, Francois",Marennes,1789-07-04,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"141",tx,[101-200]
"1789=07=04","1789>07>04","00337989",,Bristol,"Pelvin, Francois",Marennes,1789-07-04,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Aber-Ildut,Bretagne,français,Sel,,,,"75",tx,[51-100]
"1789=07=06","1789>07>06","00337994",,Nancy,"Bugaud, Pierre",Marennes,1789-07-06,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"122",tx,[101-200]
"1789=07=06","1789>07>06","00337992",,Bristol,"Tallais, Jean",Marennes,1789-07-06,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,île d'Oléron,Saintonge,français,Sel,,,,"89",tx,[51-100]
"1789=07=06","1789>07>06","00337991",,Saint Jean Baptiste,"Guguen, Pierre",Marennes,1789-07-06,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"124",tx,[101-200]
"1789=07=06","1789>07>06","00337993","0021551N",Judith Marie,"Fayet, Yves",Marennes,1789-07-06,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"76",tx,[51-100]
"1789=07=06","1789>07>06","00337995",,Sainte Anne,"Lossieux, Jean Baptiste",Marennes,1789-07-06,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Briac,Bretagne,français,Sel,,,,"98",tx,[51-100]
"1789=07=07","1789>07>07","00337996",,Marie Guillemette,"Quivoron, Jean Louis",Marennes,1789-07-07,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Landerneau,Bretagne,français,Sel,,,,"82",tx,[51-100]
"1789=07=08","1789>07>08","00337999",,Rosiere,"Thouin, Louis",Marennes,1789-07-08,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Binic,Bretagne,français,Sel,,,,"58",tx,[51-100]
"1789=07=08","1789>07>08","00337997",,Cerés,"Hude, Denis",Marennes,1789-07-08,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Ars-en-Ré,Aunis,français,Sel,,,,"151",tx,[101-200]
"1789=07=08","1789>07>08","00337998",,Desirée,"Aguesse, Joseph",Marennes,1789-07-08,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"137",tx,[101-200]
"1789=07=09","1789>07>09","00338000",,Aimable Marthe,"Prat, Michel Marie",Marennes,1789-07-09,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Aber-Ildut,Bretagne,français,Sel,,,,"93",tx,[51-100]
"1789=07=09","1789>07>09","00338001",,Jeune Saint Briac,"Baulieu, Joseph",Marennes,1789-07-09,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"102",tx,[101-200]
"1789=07=10","1789>07>10","00338002",,Marie Francoise,"Le Drast, Christophe",Marennes,1789-07-10,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Aber-Ildut,Bretagne,français,Sel,,,,"88",tx,[51-100]
"1789=07=10","1789>07>10","00338003",,Sophie,"Besnard, Francois",Marennes,1789-07-10,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"173",tx,[101-200]
"1789=07=10","1789>07>10","00338004",,Sainte Anne,"Le Normand, Arthur",Marennes,1789-07-10,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Paimpol,Bretagne,français,Sel,,,,"98",tx,[51-100]
"1789=07=10","1789>07>10","00338005",,Ville d' Ostende,"Le Trou, Jaques",Marennes,1789-07-10,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Paimpol,Bretagne,français,Sel,,,,"82",tx,[51-100]
"1789=07=11","1789>07>11","00338006",,Espérance,"Le Mouinér, Jean",Marennes,1789-07-11,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"8",tx,[1-20]
"1789=07=13","1789>07>13","00338008",,Thomas,"Genomard, Alexis",Marennes,1789-07-13,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Malo,Bretagne,français,Sel,,,,"121",tx,[101-200]
"1789=07=13","1789>07>13","00338007",,Saint Luc,"Noel, Pierre",Marennes,1789-07-13,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Briac,Bretagne,français,Sel,,,,"107",tx,[101-200]
"1789=07=14","1789>07>14","00338010",,Industrie,"Cloitre, Gabriel",Marennes,1789-07-14,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Le Conquet,Bretagne,français,Sel,,,,"85",tx,[51-100]
"1789=07=14","1789>07>14","00338009",,Marie Therèze,"Dubois, Sebastien Conellaud",Marennes,1789-07-14,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Saint-Briac,Bretagne,français,Sel,,,,"110",tx,[101-200]
"1789=07=15","1789>07>15","00338011",,Félicité,"Pinto, Paul",Marennes,1789-07-15,Honfleur,Normandie,,France,Honfleur,Marennes,Normandie,Saintonge,Out,France,Île-aux-Moines,Bretagne,français,Sel,,,,"71",tx,[51-100]
